x,y,Cell Type
4294,3064,DP cells
2861,1278,CCR7+ cells
2428,321,Class II+ DP cells
4395,2545,DP cells
4287,675,SATB1+ CD3+ DP cells
2688,2349,DP cells
3788,1931,Class II+ DP cells
3616,2154,SATB1+ CD3+ DP cells
2094,517,PD-L1+ CD3+ DP cells 
1726,2365,SP cells
2841,2943,VCAM+ DP cells
3459,2629,DP cells
3273,1267,CCR7+ cells
943,369,ETPs (proliferating)
2348,1208,TCRgd cells
155,2543,CD19+ Cytokeratin 5/8+ cells
644,1587,PD-L1+ CD3+ DP cells 
1570,2667,DP cells
726,2067,ETPs (proliferating)
966,584,DP cells
4319,1218,DP cells
4231,1476,VCAM+ DP cells
1846,1648,SP cells
2231,747,CD40+ APCs
2965,1952,DP cells
4036,2699,JAG1+ VCAM+ macrophages
4070,2078,Pericytes
4107,1986,ETPs (proliferating)
1568,3117,Endothelial cells
1222,2631,DP cells
3250,1811,DP cells
2755,1403,APCs
890,2379,ICAM+ epithelial cells
1745,126,TCRgd cells
455,2025,DP cells
367,279,CD45RA+ SP cells
626,2674,ETPs (proliferating)
1652,2795,TCRgd cells (proliferating)
2994,319,TCRgd cells
321,1118,JAG1+ macrophages
4313,3285,DP cells
356,2284,ETPs (proliferating)
1470,2877,DP cells
2166,3208,Myeloid cells
4177,131,SATB1+ CD3+ DP cells
3068,1309,DP cells
1591,3187,DP cells
389,2618,WGA+ cells
838,2826,DP cells
3140,2480,DP cells
2329,2615,DP cells
4427,944,DP cells
2381,2351,JAG1+ macrophages 
4312,2862,DP cells
1935,1532,JAG2+ mTECs
1463,2393,DP cells
3012,1996,Class II+ DP cells
3923,3389,DP cells
3857,2441,CCR7+ cells
3170,2666,DP cells
3238,2139,DP cells
2455,997,CD45RA+ SP cells
2044,3380,DP cells
1252,2512,DP cells
1453,2318,DP cells
3412,3066,Class II+ DP cells
1707,2798,DP cells
3334,2457,WGA+ cells
629,3009,DP cells
721,2452,DP cells
2325,2814,DP cells
983,1286,CD40+ APCs
760,2204,TCRgd cells
2140,1704,CD19+ Cytokeratin 5/8+ cells
1770,731,SP cells
4123,80,SP cells
75,679,Macrophages
3987,3132,DP cells
4333,1161,DP cells
1954,370,DP cells
4057,2282,cTECs
2071,1915,COL4+ cells
2026,2068,Endothelial cells
4211,65,SP cells
1694,2357,PD-L1+ CD3+ DP cells 
1276,1486,COL4+ cells
3035,2333,DP cells
989,19,mTECs
1987,2661,DP cells
4553,1232,DP cells
2154,2535,PD-L1+ CD3+ DP cells 
2229,1697,Class II+ DP cells
401,2835,Class II+ DP cells
672,443,SP cells
522,1715,JAG1+ VCAM+ macrophages
963,2774,APCs
3308,163,WGA+ cells
502,2089,VCAM+ DP cells
4130,3167,Fibroblasts
2483,1089,Endothelial cells
2098,379,SP cells
519,185,Endothelial cells
1124,500,SP cells
4014,1159,Macrophages
3946,1182,APCs
1068,2946,DP cells
4436,2822,DP cells
2564,467,CD19+ Cytokeratin 5/8+ cells
327,1734,Endothelial cells
3439,2653,DP cells
2176,302,DP cells
2579,392,DP cells
2153,2853,DP cells
2156,1832,DP cells
2632,327,WGA+ cells
3972,1716,JAG1+ macrophages
4219,287,DP cells
2572,307,DP cells
418,1205,DP cells
437,2647,Endothelial cells
1501,3185,CD45RA+ SP cells
1885,4,WGA+ cells
184,2885,DP cells
2432,73,DP cells
979,2416,DP cells
292,1400,ETPs (proliferating)
