Original Cell Type,Level Three Cell Type,Level Three CL Label,Level Three CL ID,CL_Match/3,Level Two Cell Type,Level Two CL Label,Level Two CL ID,CL_Match/2,Level One Cell Type,Level One CL Label,Level One CL ID,CL_Match/1,Tissue Type
NKT,t cell:mature natural killer ,mature NK T cell,CL:0000814,skos:exactMatch,t cell,T cell,CL:0000084,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lymphnode-codex-yale
NKT,t cell:mature natural killer ,mature NK T cell,CL:0000814,skos:exactMatch,t cell,T cell,CL:0000084,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,maternalfetalinterface-mibitof-stanford
Tissue T,t cell:memory,memory T cell,CL:0000813,skos:exactMatch,t cell,T cell,CL:0000084,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,skin-confocal-sorgerlab
Naive T,t cell:naive,naive T cell,CL:0000898,skos:exactMatch,t cell,T cell,CL:0000084,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,colon-xenium-stanford
T reg,t cell:regulatory,regulatory T cell,CL:0000815,skos:exactMatch,t cell,T cell,CL:0000084,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,skin-confocal-sorgerlab
Treg,t cell:regulatory,regulatory T cell,CL:0000815,skos:exactMatch,t cell,T cell,CL:0000084,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,oralcavity-codex-czi
Treg,t cell:regulatory,regulatory T cell,CL:0000815,skos:exactMatch,t cell,T cell,CL:0000084,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,maternalfetalinterface-mibitof-stanford
Treg,t cell:regulatory,regulatory T cell,CL:0000815,skos:exactMatch,t cell,T cell,CL:0000084,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,colon-cycif-sorgerlab
T_Treg,t cell:regulatory,regulatory T cell,CL:0000815,skos:exactMatch,t cell,T cell,CL:0000084,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lymphnode-codex-yale
T-Reg,t cell:regulatory,regulatory T cell,CL:0000815,skos:exactMatch,t cell,T cell,CL:0000084,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,skin-celldive-ge
Tregs,t cell:regulatory,regulatory T cell,CL:0000815,skos:exactMatch,t cell,T cell,CL:0000084,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,colon-xenium-stanford
T_TfR,t cell:regulatory,regulatory T cell,CL:0000815,skos:exactMatch,t cell,T cell,CL:0000084,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lymphnode-codex-yale
T_TIM3+,t cell:tim3+,T cell:tim3-positive,CL:0000084,skos:narrowMatch,t cell,T cell,CL:0000084,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,lymphnode-codex-yale
DP,thymocyte:cd4-intermediate cd8+ double-positive,"CD4-intermediate, CD8-positive double-positive thymocyte",CL:0002430,skos:exactMatch,t cell,T cell,CL:0000084,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,oralcavity-codex-czi
TA2,transit amplifying cell,transit amplifying cell,CL:0009010,skos:exactMatch,enterocyte,enterocyte,CL:0000584,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,colon-xenium-stanford
TA,transit amplifying cell,transit amplifying cell,CL:0009010,skos:exactMatch,enterocyte,enterocyte,CL:0000584,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,intestine-codex-stanford
TA1,transit amplifying cell,transit amplifying cell,CL:0009010,skos:exactMatch,enterocyte,enterocyte,CL:0000584,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,colon-xenium-stanford
CyclingTA,transit amplifying cell:proliferating,transit amplifying cell:proliferating,CL:0009010,skos:narrowMatch,transit amplifying cell,transit amplifying cell,CL:0009010,skos:exactMatch,immune cell,leukocyte,CL:0000738,skos:exactMatch,colon-xenium-stanford
Cycling TA,transit amplifying cell:proliferating,transit amplifying cell:proliferating,CL:0009010,skos:narrowMatch,enterocyte,enterocyte,CL:0000584,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,intestine-codex-stanford
EVT2,"trophoblast:hla-g minus, cd57- ck7 low extravillous",extravillous trophoblast:hla-g-negative cd57-negative ck7-low,CL:0008036,skos:narrowMatch,trophoblast ,trophoblast cell,CL:0000351,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,maternalfetalinterface-mibitof-stanford
EVT1c,trophoblast:hla-g+ cd56+ extravillous,extravillous trophoblast:hla-g-positive cd56-positive,CL:0008036,skos:narrowMatch,trophoblast ,trophoblast cell,CL:0000351,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,maternalfetalinterface-mibitof-stanford
EVT1a,trophoblast:hla-g+ ck7+ extravillous,extravillous trophoblast:hla-g-positive ck7-positive,CL:0008036,skos:narrowMatch,trophoblast ,trophoblast cell,CL:0000351,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,maternalfetalinterface-mibitof-stanford
EVT1b,trophoblast:hla-g+ ck7- extravillous,extravillous trophoblast:hla-g-positive ck7-negative,CL:0008036,skos:narrowMatch,trophoblast ,trophoblast cell,CL:0000351,skos:exactMatch,epithelial cell,epithelial cell,CL:0000066,skos:exactMatch,maternalfetalinterface-mibitof-stanford
