x,y,Cell Type
2226.778,1367.01524,endothelial cell
2574.0044,2224.13606,endothelial cell
2153.55852,1109.6147999999998,endothelial cell
2042.21962,2614.76576,endothelial cell
2278.86196,1092.6309,endothelial cell
2175.8263,1120.18256,endothelial cell
2782.71766,2925.75984,endothelial cell
2108.64554,254.38108,endothelial cell
1592.33498,3033.32454,endothelial cell
19.62584,1998.06148,endothelial cell
2165.63596,723.51414,endothelial cell
1497.22514,3133.34084,endothelial cell
1119.42772,2783.4725,endothelial cell
2249.80062,695.20764,endothelial cell
2181.11018,900.1466999999999,endothelial cell
2598.91412,3077.48268,endothelial cell
2380.38794,1164.3407,endothelial cell
2664.20778,2117.3262,endothelial cell
2180.73276,718.2302599999999,endothelial cell
2812.15642,2686.47556,endothelial cell
2379.6331,3015.20838,endothelial cell
2263.01032,1459.4831399999998,endothelial cell
2423.0364,1636.1156999999998,endothelial cell
1938.0517,617.0817,endothelial cell
1044.69856,1142.82776,endothelial cell
1771.2320599999998,442.33624,endothelial cell
2738.55952,2523.80754,endothelial cell
2030.5196,1391.17012,endothelial cell
1529.30584,33.59038,endothelial cell
2701.57236,1805.19986,endothelial cell
1760.28688,754.46258,endothelial cell
1402.49272,489.13632,endothelial cell
2433.60416,1480.99608,endothelial cell
1284.73768,3228.07326,endothelial cell
693.69796,1046.20824,endothelial cell
2727.99176,2807.24996,endothelial cell
2968.4083,3186.17964,endothelial cell
2814.04352,3414.89616,endothelial cell
2410.20412,2164.12628,endothelial cell
1627.0576199999998,729.17544,endothelial cell
1888.9871,3018.22774,endothelial cell
2243.7619,1374.94106,endothelial cell
1796.5192,1549.68652,endothelial cell
2891.0372,2552.11404,endothelial cell
303.44568,574.81066,endothelial cell
2432.09448,1226.99242,endothelial cell
2877.07266,1570.82204,endothelial cell
2834.4242,2737.04984,endothelial cell
663.12694,1065.4566599999998,endothelial cell
2635.52386,2601.17864,endothelial cell
1619.1318,3392.62838,endothelial cell
1841.43218,1243.5989,endothelial cell
2012.40344,1442.49924,endothelial cell
1344.37004,2489.46232,endothelial cell
2945.38568,2869.14684,endothelial cell
2291.69424,668.78824,endothelial cell
2416.24284,1458.7283,endothelial cell
2335.09754,1293.41834,endothelial cell
2873.29846,2106.75844,endothelial cell
1622.52858,3396.40258,endothelial cell
2999.35674,2871.03394,endothelial cell
141.5325,696.71732,endothelial cell
2870.65652,2372.83954,endothelial cell
1857.66124,754.46258,endothelial cell
368.73934,2172.80694,endothelial cell
3045.7794,3052.19554,endothelial cell
113.226,628.78172,endothelial cell
1371.5442799999998,2176.95856,endothelial cell
1131.12774,2134.68752,endothelial cell
2588.72378,2050.52286,endothelial cell
2098.4552,979.02748,endothelial cell
2988.03414,2880.46944,endothelial cell
2908.77594,2928.40178,endothelial cell
2897.83076,2050.90028,endothelial cell
1609.3188799999998,3039.36326,endothelial cell
2967.27604,3202.03128,endothelial cell
2058.8261,1351.91844,endothelial cell
1966.73562,103.7905,endothelial cell
466.86854,2368.68792,endothelial cell
2974.44702,2547.20758,endothelial cell
317.0328,762.3883999999999,endothelial cell
2788.37896,1881.81612,endothelial cell
