AS/1,AS/1/ID,AS/1/LABEL,AS/2,AS/2/ID,AS/2/LABEL,AS/3,AS/3/ID,AS/3/LABEL,AS/4,AS/4/ID,AS/4/LABEL,AS/5,AS/5/ID,AS/5/LABEL,AS/6,AS/6/ID,AS/6/LABEL,AS/7,AS/7/ID,AS/7/LABEL,AS/8,AS/8/ID,AS/8/LABEL,AS/9,AS/9/ID,AS/9/LABEL,AS/10,AS/10/ID,AS/10/LABEL,AS/11,AS/11/ID,AS/11/LABEL,AS/12,AS/12/ID,AS/12/LABEL,CT/1 - Sources,BGene/1,NV notes
cell,CL:0000000,cell,muscle cell,CL:0000187,muscle cell,non-striated muscle cell,CL:0008000,non-striated muscle cell,smooth muscle cell,CL:0000192,smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,vascular associated smooth muscle cell,smooth muscle cell of the brain vasculature,CL:0002590,smooth muscle cell of the brain vasculature,,,,,,,,,,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,neural cell,CL:0002319,neural cell,neuron associated cell,CL:0000095,neuron associated cell,glial cell,CL:0000125,glial cell,cerebral cortex glial cell,CL:1001579,cerebral cortex glial cell,hippocampal glial cell,CL:1001580,hippocampal glial cell,hippocampal astrocyte,CL:0002604,hippocampal astrocyte,,,,,,,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,squamous epithelial cell,CL:0000076,squamous epithelial cell,mesothelial cell,CL:0000077,mesothelial cell,mesothelial cell of pleura,CL:1000491,mesothelial cell of pleura,,,,,,,,,,,,,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,endothelial cell,CL:0000115,endothelial cell,endothelial cell of vascular tree,CL:0002139,endothelial cell of vascular tree,blood vessel endothelial cell,CL:0000071,blood vessel endothelial cell,microvascular endothelial cell,CL:2000008,microvascular endothelial cell,capillary endothelial cell,CL:0002144,capillary endothelial cell,pulmonary capillary endothelial cell,CL:4028001,pulmonary capillary endothelial cell,alveolar capillary type 2 endothelial cell,CL:4028003,alveolar capillary type 2 endothelial cell,,,,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,endothelial cell,CL:0000115,endothelial cell,endothelial cell of vascular tree,CL:0002139,endothelial cell of vascular tree,blood vessel endothelial cell,CL:0000071,blood vessel endothelial cell,microvascular endothelial cell,CL:2000008,microvascular endothelial cell,capillary endothelial cell,CL:0002144,capillary endothelial cell,post-arteriole capillary cell,CL:4047029,post-arteriole capillary cell,,,,,,,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,perivascular cell,CL:4033054,perivascular cell,mural cell,CL:0008034,mural cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,squamous epithelial cell,CL:0000076,squamous epithelial cell,mesothelial cell,CL:0000077,mesothelial cell,,,,,,,,,,,,,,,,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,lymphocyte of B lineage,CL:0000945,lymphocyte of B lineage,antibody secreting cell,CL:0000946,antibody secreting cell,plasma cell,CL:0000786,plasma cell,,,,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,lymphocyte of B lineage,CL:0000945,lymphocyte of B lineage,B cell,CL:0000236,B cell,"B cell, CD19-positive",CL:0001201,"B cell, CD19-positive",precursor B cell,CL:0000817,precursor B cell,pre-B-II cell,CL:0000955,pre-B-II cell,small pre-B-II cell,CL:0000954,small pre-B-II cell,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,mononuclear phagocyte,CL:0000113,mononuclear phagocyte,dendritic cell,CL:0000451,dendritic cell,"dendritic cell, human",CL:0001056,"dendritic cell, human",,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
cell,CL:0000000,cell,muscle cell,CL:0000187,muscle cell,striated muscle cell,CL:0000737,striated muscle cell,cardiac muscle cell,CL:0000746,cardiac muscle cell,regular cardiac myocyte,CL:0002098,regular cardiac myocyte,regular ventricular cardiac myocyte,CL:0002131,regular ventricular cardiac myocyte,,,,,,,,,,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,endo-epithelial cell,CL:0002076,endo-epithelial cell,respiratory tract epithelial cell,CL:0002368,respiratory tract epithelial cell,respiratory tract secretory epithelial cell,CL:0008055,respiratory tract secretory epithelial cell,respiratory tract goblet cell,CL:0002370,respiratory tract goblet cell,tracheobronchial goblet cell,CL:0019003,tracheobronchial goblet cell,bronchial goblet cell,CL:1000312,bronchial goblet cell,,,,,,,,,,,,,celltypist,sc_transcriptomics,
cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,kidney epithelial cell,CL:0002518,kidney epithelial cell,epithelial cell of nephron,CL:1000449,epithelial cell of nephron,nephron tubule epithelial cell,CL:1000494,nephron tubule epithelial cell,kidney connecting tubule epithelial cell,CL:1000768,kidney connecting tubule epithelial cell,,,,,,,,,,,,,,,,,,,celltypist,sc_transcriptomics,
